SSN,PID,CC,Site,ICRAFPID,Lon,Lat,Depth,pH,Hp,EC,C,N,P,K,S,Ca,Mg,Al,B,Cu,Fe,Mn,Zn,Na
icr043173,GN-aEVWfj,GN,Boumeoul,Boumeoul-3-1,-13.174048,11.942727,35,4.94,0.96,0.018,5354,410,2.3,21.6,20.1,171,55.8,1150,0.048,0.54,72.2,3.9,0.31,13.4
icr043198,GN-q3x3Ui,GN,Boumeoul,Boumeoul-4-5,-13.176293,11.96982,10,5.23,0.768,0.016,8278,588,5.9,35.4,5.8,118,38.9,1060,0.041,0.33,152,13.7,0.72,6.46
icr043199,GN-q3x3Ui,GN,Boumeoul,Boumeoul-4-5,-13.176293,11.96982,35,5.19,0.912,0.013,6683,492,3.7,29.1,6.1,63,22.2,1240,0.046,0.32,124,6.55,0.47,10.4
icr043211,GN-pTs65U,GN,Boumeoul,Boumeoul-5-1,-13.15499,11.907482,10,5.42,0.384,0.03,18911,1206,4.7,178,4.5,447,263,1400,0.098,2.06,117,278,1.25,10.7
icr043212,GN-pTs65U,GN,Boumeoul,Boumeoul-5-1,-13.15499,11.907482,35,5.21,0.912,0.016,10543,1209,0.6,117,3.7,242,148,1390,0.087,1.61,92.9,205,0.76,12.5
icr043230,GN-xuLmEj,GN,Boumeoul,Boumeoul-6-2,-13.152722,11.921952,10,5.18,0.864,0.038,16093,785,4.8,45.7,7.9,385,99.2,1500,0.067,0.48,126,15.1,0.34,15.7
icr043231,GN-xuLmEj,GN,Boumeoul,Boumeoul-6-2,-13.152722,11.921952,35,4.98,1.632,0.022,12466,803,2.8,40.9,6.8,134,45.7,1520,0.02,0.34,99.2,10.2,0.47,1.3
icr043248,GN-3656wA,GN,Boumeoul,Boumeoul-7-2,-13.157495,11.94213,10,6.19,0.096,0.044,18148,1018,12.2,157,6,932,193,1170,0.13,0.94,120,47.5,1.34,10.6
icr043249,GN-3656wA,GN,Boumeoul,Boumeoul-7-2,-13.157495,11.94213,35,6.19,0.144,0.027,11209,790,7,100,4.9,655,135,1190,0.13,0.86,97.1,36.1,0.73,7.53
icr043266,GN-GLd4fd,GN,Boumeoul,Boumeoul-8-1,-13.153175,11.96197,10,6.16,0.144,0.042,20841,1199,13.1,58.4,6.7,976,165,1270,0.16,0.63,99.9,29.6,0.67,4.03
icr043267,GN-GLd4fd,GN,Boumeoul,Boumeoul-8-1,-13.153175,11.96197,35,5.2,0.768,0.03,10022,640,6.5,49.3,7.5,345,64,1260,0.048,0.6,147,10.4,0.57,16.2
icr043287,GN-TzEDSH,GN,Boumeoul,Boumeoul-9-2,-13.13042,11.905108,10,5.46,0.288,0.017,13838,1024,6,39.9,10.3,106,24.8,1500,0.019,0.79,150,1.75,0.56,17.8
icr043288,GN-TzEDSH,GN,Boumeoul,Boumeoul-9-2,-13.13042,11.905108,35,5.3,0.528,0.009,6006,614,4.4,13,7.2,80.7,19,1380,0.016,0.75,64.8,1.48,0.63,11.1
icr043299,GN-wZ0vzM,GN,Boumeoul,Boumeoul-10-2,-13.13387,11.928245,10,4.99,1.872,0.022,15660,999,1.3,47.7,8.2,266,98.9,1470,0.05,1.56,162,46,0.29,15.4
icr043300,GN-wZ0vzM,GN,Boumeoul,Boumeoul-10-2,-13.13387,11.928245,35,4.7,2.112,0.019,10670,723,0.6,33.6,5.3,124,43,1500,0.072,1.25,99.5,19.6,0.39,23.4
icr043324,GN-tQESUv,GN,Boumeoul,Boumeoul-11-5,-13.134832,11.947127,10,5.22,0.864,0.021,15537,1394,11.3,19,7.5,145,22.9,1660,0.018,1,177,1.48,0.24,13.6
icr043325,GN-tQESUv,GN,Boumeoul,Boumeoul-11-5,-13.134832,11.947127,35,5.43,0.528,0.009,4346,454,2.7,16.7,5.2,366,56.4,1140,0.024,0.51,53.3,0.96,1.09,16.1
icr043332,GN-I7bBOl,GN,Boumeoul,Boumeoul-12-1,-13.129793,11.967822,10,4.9,0.624,0.027,8259,594,6.3,10.6,6.6,85.9,20.2,1340,0.014,0.55,141,0.86,0.28,16.1
icr043333,GN-I7bBOl,GN,Boumeoul,Boumeoul-12-1,-13.129793,11.967822,35,5.32,0.48,0.014,6300,541,6.7,9.5,6.6,102,20.3,1360,0.019,0.74,64,0.93,0.63,8.63
icr043347,GN-UxTzTh,GN,Boumeoul,Boumeoul-13-1,-13.107555,11.89474,10,6,0.096,0.015,14734,843,4.3,79.3,4,597,149,841,0.069,0.95,100,80.4,1.08,9.09
icr043348,GN-UxTzTh,GN,Boumeoul,Boumeoul-13-1,-13.107555,11.89474,35,5.62,0.528,0.011,11145,673,2.4,68.8,4.2,249,75.5,881,0.044,0.91,86.6,35.6,0.56,5.01
icr043363,GN-N7RbaE,GN,Boumeoul,Boumeoul-14-1,-13.107235,11.928223,10,6.25,0.096,0.035,30399,1696,7,128,4.8,1200,251,783,0.21,1.28,98.7,203,0.85,11.4
icr043390,GN-rRddj3,GN,Boumeoul,Boumeoul-15-11,-13.112207,11.950435,10,6.96,0.24,0.366,64092,4403,14.1,147,13.9,8550,501,1060,0.29,1.09,111,41.4,2.09,10.7
icr043391,GN-rRddj3,GN,Boumeoul,Boumeoul-15-11,-13.112207,11.950435,35,5.19,1.728,0.039,33028,2010,4.7,74.3,11.3,576,129,1660,0.078,1,192,13.4,0.49,25.7
icr043401,GN-dKGLKT,GN,Boumeoul,Boumeoul-16-10,-13.105413,11.963958,10,5.04,2.208,0.021,25062,1475,4.1,48.1,11.6,203,57.8,1490,0.035,0.55,168,8.02,0.38,15.9
icr043402,GN-dKGLKT,GN,Boumeoul,Boumeoul-16-10,-13.105413,11.963958,35,4.94,1.92,0.017,16343,1117,21,33.4,9.2,212,47.5,1600,0.056,0.65,109,7.81,0.51,20.2
icr048450,ZA-M9WNlz,ZA,Madadeni,Madadeni-1-1,30.0127,-27.6111,10,6.66,0.093,0.076,11151,677,1.9,141,11.4,1240,807,664,0.51,4.76,139,124,0.79,58.8
icr048451,ZA-M9WNlz,ZA,Madadeni,Madadeni-1-1,30.0127,-27.6111,35,8.79,0.18,0.118,5122,424,1.1,143,18.2,1820,1560,697,0.46,3.89,115,93,0.61,319
icr048468,ZA-7EkIr1,ZA,Madadeni,Madadeni-2-1,30.0235,-27.5922,10,6.07,0.18,0.085,21543,1576,4.9,201,16.3,2440,807,780,0.64,2.47,122,67.4,1.38,37.1
icr048469,ZA-7EkIr1,ZA,Madadeni,Madadeni-2-1,30.0235,-27.5922,35,6.46,0.18,0.095,18217,1220,1.9,117,20.9,2920,985,794,0.75,2.97,110,101,0.84,96.2
icr048485,ZA-z8Sbb9,ZA,Madadeni,Madadeni-3-1,30.0228,-27.5684,10,8.09,0.37,0.228,11588,642,2.5,199,14.9,6210,4030,957,0.61,7.18,98.8,278,0.94,54.8
icr048486,ZA-z8Sbb9,ZA,Madadeni,Madadeni-3-1,30.0228,-27.5684,35,8.29,0.37,0.243,8734,357,1.4,204,14.5,6620,4020,982,0.67,7.72,108,334,0.89,49.1
icr048503,ZA-QVjRcV,ZA,Madadeni,Madadeni-4-1,30.0232,-27.5477,10,7.5,0.18,0.102,15285,839,2.8,128,15.4,3500,4340,909,0.75,6.12,148,290,1.32,68.1
icr048504,ZA-QVjRcV,ZA,Madadeni,Madadeni-4-1,30.0232,-27.5477,35,8.43,0.27,0.237,8310,501,1,97.1,12.8,4760,4740,609,0.41,4.06,119,190,0.59,42.8
icr048520,ZA-o6h1qt,ZA,Madadeni,Madadeni-5-1,30.045,-27.6131,10,7.52,0.18,0.089,8072,661,0.9,142,27.2,1960,842,894,0.3,1.35,74.8,65.8,0.81,315
icr048521,ZA-o6h1qt,ZA,Madadeni,Madadeni-5-1,30.045,-27.6131,35,5.84,0.32,0.047,10045,747,1,126,16.8,1080,678,1330,0.3,0.92,53.9,22.2,0.65,35.5
icr048528,ZA-oFgqxv,ZA,Madadeni,Madadeni-6-2,30.0455,-27.5868,10,5.6,0.18,0.046,9009,675,6.1,149,8.4,506,166,549,0.22,2.18,128,41.8,0.92,18.2
icr048529,ZA-oFgqxv,ZA,Madadeni,Madadeni-6-2,30.0455,-27.5868,35,5.77,0.23,0.029,6308,385,2.5,93.8,8.4,585,243,725,0.2,2.79,126,26.4,0.34,23.6
icr048549,ZA-YKZ3Uu,ZA,Madadeni,Madadeni-7-2,30.0408,-27.5634,10,6.16,0.23,0.061,28464,1764,1.5,182,17.8,2060,602,1040,0.65,8.11,130,193,1.17,29.8
icr048550,ZA-YKZ3Uu,ZA,Madadeni,Madadeni-7-2,30.0408,-27.5634,35,6.11,0.23,0.083,22856,1392,0.8,106,13.3,1840,565,1100,0.66,7.47,98.1,167,1.06,22.3
icr048566,ZA-8ZEZ08,ZA,Madadeni,Madadeni-8-1,30.0388,-27.535,10,5.86,0.32,0.105,27071,1660,5.1,260,23,1880,606,958,0.34,8.48,236,86.6,1.86,82.8
icr048567,ZA-8ZEZ08,ZA,Madadeni,Madadeni-8-1,30.0388,-27.535,35,6.12,0.18,0.168,16262,1029,1.3,126,17.9,1930,739,1020,0.2,7.28,130,63.7,1.02,91.2
icr048584,ZA-xrvXfE,ZA,Madadeni,Madadeni-9-1,30.06,-27.602,10,5.06,0.65,0.03,8852,614,2.3,97.2,10.8,275,106,628,0.001,1.16,242,13.7,1.05,45.2
icr048585,ZA-xrvXfE,ZA,Madadeni,Madadeni-9-1,30.06,-27.602,35,5.24,0.93,0.03,5311,438,0.4,81,10.3,314,180,572,0.001,0.9,133,22.9,0.81,53.2
icr048602,ZA-oCwIVC,ZA,Madadeni,Madadeni-10-1,30.0597,-27.5896,10,5.01,0.52,0.052,9821,560,8.8,107,9.5,323,79.8,476,0.001,1.41,381,22.8,1.3,18.5
icr048603,ZA-oCwIVC,ZA,Madadeni,Madadeni-10-1,30.0597,-27.5896,35,5.1,0.24,0.013,3067,205,2.9,53.9,7,231,57.1,323,0.001,1.06,231,8.67,0.42,47.7
icr048622,ZA-JRCPCi,ZA,Madadeni,Madadeni-11-1,30.0585,-27.5668,10,5.47,0.23,0.068,14395,984,5.5,289,20.2,670,259,1030,0.001,5.05,350,23.6,1.36,29.2
icr048623,ZA-JRCPCi,ZA,Madadeni,Madadeni-11-1,30.0585,-27.5668,35,5.75,0.18,0.045,8229,639,3.4,163,17.2,498,259,1070,0.001,3.63,178,15.8,0.42,32.5
icr048642,ZA-KeIOai,ZA,Madadeni,Madadeni-12-1,30.071,-27.5431,10,5.72,0.46,0.128,43596,2709,3,162,18.4,2450,599,1170,0.49,9.72,149,120,1.78,45.1
icr048643,ZA-KeIOai,ZA,Madadeni,Madadeni-12-1,30.071,-27.5431,35,5.59,0.37,0.137,34214,1972,1.2,81.9,12.9,2280,530,1180,0.44,7.96,104,78.6,1.12,40.8
icr048664,ZA-h0lB7x,ZA,Madadeni,Madadeni-13-2,30.0861,-27.6154,10,5.83,0.27,0.066,14604,1079,4.6,241,17.4,1020,383,1020,0.28,3.93,142,115,0.99,28.5
icr048665,ZA-h0lB7x,ZA,Madadeni,Madadeni-13-2,30.0861,-27.6154,35,5.83,0.32,0.075,10952,691,1.9,165,17.6,1150,511,1250,0.001,3.57,112,94.1,0.53,53.9
icr048682,ZA-s9CE9m,ZA,Madadeni,Madadeni-14-1,30.0894,-27.5834,10,5.89,0.23,0.023,3702,227,8.7,78,5.3,144,42.7,390,0.001,0.73,223,21,0.63,17.9
icr048683,ZA-s9CE9m,ZA,Madadeni,Madadeni-14-1,30.0894,-27.5834,35,5.52,0.27,0.021,1952,133,3.6,58.2,4,196,49.1,364,0.001,0.68,196,17.7,0.36,30
icr048704,ZA-04WxXD,ZA,Madadeni,Madadeni-15-2,30.0907,-27.5677,10,5.73,0.23,0.069,18103,958,4,217,18.7,910,374,908,0.24,4.09,189,68,1.05,52.8
icr048705,ZA-04WxXD,ZA,Madadeni,Madadeni-15-2,30.0907,-27.5677,35,6.11,0.32,0.065,9184,591,0.6,154,20.6,1020,542,1200,0.001,2.99,101,70,0.6,76.5
icr048721,ZA-qKwNVq,ZA,Madadeni,Madadeni-16-1,30.0929,-27.545,10,5.88,0.27,0.157,36604,2273,2,328,20.7,2510,898,1090,0.59,10.6,103,248,1.56,32.4
icr048722,ZA-qKwNVq,ZA,Madadeni,Madadeni-16-1,30.0929,-27.545,35,5.91,0.27,0.074,28163,1590,0.3,120,16.9,2370,867,1270,0.29,8.96,80,162,0.58,45.1
icr048740,ZA-HbExTu,ZA,Hopetown,Hopetown-1-1,23.9142,-29.835,10,6.24,0.097,0.049,2297,220,4,128,3.4,514,215,501,0.001,1.04,53.2,73.9,0.001,19.9
icr048741,ZA-HbExTu,ZA,Hopetown,Hopetown-1-1,23.9142,-29.835,35,6.76,0.097,0.065,2291,324,1.3,94.7,3.4,802,298,459,0.001,1.25,49.1,87,0.37,26.5
icr048755,ZA-Q8JEuK,ZA,Hopetown,Hopetown-2-1,23.9044,-29.8085,10,7.8,0.19,0.058,3376,308,4.1,156,3.4,1250,327,422,0.22,2.1,58.4,105,0.47,17.4
icr048756,ZA-Q8JEuK,ZA,Hopetown,Hopetown-2-1,23.9044,-29.8085,35,8.52,0.29,0.125,3028,298,4.5,112,6,5230,348,246,0.39,2.15,28.8,75.1,0.38,25.9
icr048770,ZA-jn9NZG,ZA,Hopetown,Hopetown-3-3,23.9075,-29.7978,10,7.62,0.38,0.045,3591,304,5.4,178,4.4,1150,530,399,0.21,3.56,65.3,89.9,0.44,23.9
icr048771,ZA-jn9NZG,ZA,Hopetown,Hopetown-3-3,23.9075,-29.7978,35,7.84,0.29,0.056,2720,276,1.7,94.8,3.1,1360,622,359,0.3,4.35,57.7,83,0.32,19.7
icr048786,ZA-IAxoND,ZA,Hopetown,Hopetown-4-4,23.9145,-29.7684,10,7.83,0.19,0.051,5657,626,16.3,418,5.4,2110,404,658,0.45,3.64,79.4,184,0.6,21.4
icr048787,ZA-IAxoND,ZA,Hopetown,Hopetown-4-4,23.9145,-29.7684,35,8.11,0.19,0.096,4013,545,3.3,401,5.4,2820,552,721,0.4,3.83,74.7,216,3.13,24.3
icr048793,ZA-Y6gvGj,ZA,Hopetown,Hopetown-5-1,23.9373,-29.8323,10,7.01,0.24,0.039,2178,237,2.9,114,3.4,526,223,410,0.001,1.05,47.3,59.2,0.001,26.3
icr048794,ZA-Y6gvGj,ZA,Hopetown,Hopetown-5-1,23.9373,-29.8323,35,7.18,0.14,0.042,2311,212,3,98.9,4.2,912,362,433,0.28,2.3,50.9,73.2,0.35,44.1
icr048820,ZA-jxTMu9,ZA,Hopetown,Hopetown-6-8,23.9277,-29.8205,10,8.53,0.24,0.113,6261,724,29.4,562,11.3,3770,410,547,0.93,3.33,50.9,144,0.59,28.1
icr048821,ZA-jxTMu9,ZA,Hopetown,Hopetown-6-8,23.9277,-29.8205,35,8.63,0.38,0.109,5241,523,25.1,555,12.6,7260,356,302,1.09,3.76,28.6,99.8,0.55,30.7
icr048824,ZA-731gS1,ZA,Hopetown,Hopetown-7-2,23.9288,-29.7962,10,8.57,0.33,0.092,4031,434,21.8,253,5.1,1880,196,373,0.51,1.72,49.8,80.2,0.61,21.2
icr048825,ZA-731gS1,ZA,Hopetown,Hopetown-7-2,23.9288,-29.7962,35,8.78,0.19,0.101,3215,419,6.1,133,12.3,14500,332,16.3,0.52,0.94,7.18,14.5,0.27,26.9
icr048837,ZA-XYjAFd,ZA,Hopetown,Hopetown-8-2,23.933,-29.7781,10,8.76,0.29,0.092,3259,337,18.9,182,5.7,2570,184,316,0.35,2.02,70,79.9,1.01,19.8
icr048838,ZA-XYjAFd,ZA,Hopetown,Hopetown-8-2,23.933,-29.7781,35,8.46,0.19,0.106,2227,260,12.1,99.7,4.6,1350,166,293,0.31,2.06,55,83.4,0.52,17.6
icr048854,ZA-TdvZRl,ZA,Hopetown,Hopetown-9-3,23.9545,-29.8424,10,7.18,0.19,0.034,2314,406,8.8,208,4,978,404,467,0.24,1.91,60.1,116,0.85,34.6
icr048855,ZA-TdvZRl,ZA,Hopetown,Hopetown-9-3,23.9545,-29.8424,35,7.33,0.19,0.095,3231,466,5,206,7.1,1460,639,614,0.36,2.34,68.9,128,0.47,40.1
icr048868,ZA-PPkSfj,ZA,Hopetown,Hopetown-10-1,23.9544,-29.815,10,7.3,0.19,0.038,2180,271,4.6,128,5.6,1010,425,406,0.001,3.37,77.9,89.7,0.32,37.1
icr048869,ZA-PPkSfj,ZA,Hopetown,Hopetown-10-1,23.9544,-29.815,35,7.58,0.097,0.077,2445,301,2.4,86.4,3.9,1240,488,366,0.26,3.93,62.8,92.5,0.3,44.5
icr048886,ZA-PhdFu5,ZA,Hopetown,Hopetown-11-1,23.9515,-29.7874,10,7.58,0.33,0.045,2301,257,3.3,134,4.1,1160,551,380,0.24,2.8,60.1,81.3,0.53,37.6
icr048887,ZA-PhdFu5,ZA,Hopetown,Hopetown-11-1,23.9515,-29.7874,35,7.87,0.14,0.063,2696,273,1.9,98.7,3.8,1340,607,367,0.39,3.29,62,85.1,0.44,24.3
icr048899,ZA-FXcQNk,ZA,Hopetown,Hopetown-12-1,23.9539,-29.7687,10,8.7,0.19,0.094,7420,751,105,397,11.6,3760,310,524,1.2,3.06,52,153,1.59,39.6
icr048900,ZA-FXcQNk,ZA,Hopetown,Hopetown-12-1,23.9539,-29.7687,35,8.69,0.24,0.097,6287,636,85.6,250,17.8,6650,242,282,0.83,2.22,29,107,1.53,29.3
icr048912,ZA-03pJiv,ZA,Hopetown,Hopetown-13-1,23.9832,-29.8379,10,7.71,0.14,0.043,3020,340,7.8,216,5.8,1180,520,504,0.001,3.32,80.5,120,0.56,37.8
icr048913,ZA-03pJiv,ZA,Hopetown,Hopetown-13-1,23.9832,-29.8379,35,7.5,0.19,0.056,2794,304,3.5,167,4.4,1510,638,526,0.29,4.3,80.9,140,0.38,37.5
icr048931,ZA-EBHCoG,ZA,Hopetown,Hopetown-14-2,23.9758,-29.8198,10,8.67,0.24,0.088,4248,512,18.6,321,8.3,5570,296,360,0.73,2.96,42.6,125,0.77,34.2
icr048932,ZA-w7CYG2,ZA,Hopetown,Hopetown-14-3,23.9757,-29.816,10,8.48,0.56,0.139,2770,335,9.7,170,14.2,17600,355,34,0.47,2.02,10.9,18.7,0.44,33.5
icr048942,ZA-RUfr59,ZA,Hopetown,Hopetown-14-10,23.9729,-29.8188,10,7.22,0.29,0.029,2623,348,5,139,4.3,879,333,481,0.001,2.7,67.6,82.9,0.33,30.6
icr048943,ZA-UB2j4N,ZA,Hopetown,Hopetown-15-1,23.9782,-29.7993,10,7.34,0.14,0.046,2187,206,1.3,96.1,3.4,1060,408,434,0.001,2.93,63,86.2,0.38,28.4
icr048960,ZA-tOEJ55,ZA,Hopetown,Hopetown-15-13,23.9793,-29.7994,35,8.47,0.24,0.076,6659,639,23.2,237,5.8,2520,205,479,0.52,2.1,55.1,100,1.12,19
icr048961,ZA-PxgIxo,ZA,Hopetown,Hopetown-16-1,23.983,-29.7734,10,8.47,0.19,0.092,5043,546,18.1,189,9.4,6620,249,351,0.73,2.15,30.4,89.8,1.14,19.6
icr048977,ZA-XSeHdI,ZA,Prieska,Prieska-1-1,22.7102,-29.9721,10,8.56,0.24,0.152,4000,559,12.7,171,14,9360,248,145,0.36,1.16,47.1,111,0.58,46.9
icr048978,ZA-XSeHdI,ZA,Prieska,Prieska-1-1,22.7102,-29.9721,35,8.58,0.19,0.142,2462,620,6.3,129,13.2,8540,217,194,0.34,0.62,59.6,88.4,0.41,91.4
icr048985,ZA-3kgs5J,ZA,Prieska,Prieska-2-1,22.7059,-29.9494,10,8.56,0.097,0.115,3007,679,10.5,189,10.7,8110,167,255,0.55,1.53,32.5,184,0.72,44.7
icr048986,ZA-3kgs5J,ZA,Prieska,Prieska-2-1,22.7059,-29.9494,35,8.78,0.29,0.08,1881,842,5,188,8.6,5910,190,391,0.22,0.96,156,144,0.72,56
icr048992,ZA-jGH0ou,ZA,Prieska,Prieska-2-6,22.7115,-29.9487,10,8.69,0.19,0.131,24657,676,4.3,102,26.4,29700,498,8.71,0.41,0.55,8.74,11.3,0.47,45
icr048993,ZA-jGH0ou,ZA,Prieska,Prieska-2-6,22.7115,-29.9487,35,8.86,0.14,0.207,6001,524,0.9,120,33.4,26700,1120,5.76,0.44,0.001,9.16,4.33,0.36,185
icr049013,ZA-V9UDNp,ZA,Prieska,Prieska-4-4,22.7159,-29.9058,10,8.67,0.38,0.093,3916,408,130,562,13.6,3440,302,402,0.72,2.23,59.9,146,1.83,24.9
icr049014,ZA-V9UDNp,ZA,Prieska,Prieska-4-4,22.7159,-29.9058,35,8.52,0.19,0.091,2456,420,68.2,467,13.5,1880,290,409,0.72,2.68,67.7,160,0.89,27.1
icr049022,ZA-nd74Xh,ZA,Prieska,Prieska-5-1,22.7325,-29.9716,10,8.4,0.48,2.48,3734,461,76.7,628,377,7090,762,326,1.51,3.05,69.8,233,2.43,1660
icr049023,ZA-nd74Xh,ZA,Prieska,Prieska-5-1,22.7325,-29.9716,35,8.45,0.097,2.62,3556,396,30.6,472,759,7960,839,164,1.51,2.04,50.9,135,1.96,2920
icr049044,ZA-wsI8YT,ZA,Prieska,Prieska-6-3,22.7371,-29.9505,10,8.25,0.29,0.217,16281,1565,58.3,450,19.1,7040,303,326,1.76,3,45.9,103,2.2,27.5
icr049045,ZA-wsI8YT,ZA,Prieska,Prieska-6-3,22.7371,-29.9505,35,8.29,0.29,1.75,25646,529,0.5,286,83.6,35200,824,3,0.82,0.58,1.26,4.88,0.44,785
icr049056,ZA-fqNqBb,ZA,Prieska,Prieska-7-4,22.7283,-29.9345,10,8.64,0.38,0.109,6535,601,13.7,111,15.4,17100,165,38.8,0.48,1.03,10.1,39.8,0.62,26.4
icr049057,ZA-fqNqBb,ZA,Prieska,Prieska-7-4,22.7283,-29.9345,35,8.56,0.097,0.118,9036,457,9.2,71.5,23.4,24700,200,15.4,0.3,0.58,6.72,24,1.04,50.6
icr049068,ZA-gLUNPn,ZA,Prieska,Prieska-8-6,22.736919,-29.001227,10,7.92,0.38,0.05,3439,346,83.7,417,5.7,1390,290,498,0.36,2.22,78.6,153,1.95,18.8
icr049069,ZA-gLUNPn,ZA,Prieska,Prieska-8-6,22.736919,-29.001227,35,8.14,0.19,0.099,1921,246,30.9,338,4.8,1430,266,414,0.38,2.43,59.5,151,1.64,19
icr049074,ZA-8KNa3V,ZA,Prieska,Prieska-9-1,22.7623,-29.9813,10,7.27,0.19,0.035,2157,267,15.9,195,3.2,672,251,394,0.001,0.93,56.5,59.9,1,14.2
icr049075,ZA-8KNa3V,ZA,Prieska,Prieska-9-1,22.7623,-29.9813,35,7.74,0.24,0.065,2704,294,13,204,7.6,827,312,317,0.46,1.12,48.5,64,1.31,43.1
icr049098,ZA-PBLRSh,ZA,Prieska,Prieska-11-1,22.7603,-29.934,10,7.46,0.24,0.733,2514,425,25.7,402,27.1,1710,394,560,0.36,2.38,73.5,177,5.4,46.9
icr049099,ZA-PBLRSh,ZA,Prieska,Prieska-11-1,22.7603,-29.934,35,7.77,0.19,0.534,1916,365,9.5,246,10.6,1920,338,442,0.39,2.26,55.2,133,0.85,54.7
icr049100,ZA-BFkbsH,ZA,Prieska,Prieska-11-2,22.7598,-29.9347,10,7.97,0.29,0.066,2872,423,44.8,331,5.5,1030,231,373,0.33,0.98,58.3,79.8,1.67,24
icr049101,ZA-BFkbsH,ZA,Prieska,Prieska-11-2,22.7598,-29.9347,35,8.57,0.29,0.085,2224,328,12.3,264,4.4,1370,276,330,0.39,0.97,52.3,80.7,0.82,24.1
icr049115,ZA-havWND,ZA,Prieska,Prieska-12-1,22.7619,-29.91,10,7.22,0.097,0.044,3101,319,24,255,4.2,918,243,458,0.001,1.44,68.9,106,1.22,27.7
icr049116,ZA-havWND,ZA,Prieska,Prieska-12-1,22.7619,-29.91,35,7.57,0.097,0.078,2200,286,4.8,199,5.7,1260,386,548,0.33,1.76,61.8,135,0.68,34.9
icr049130,ZA-sKzMmf,ZA,Prieska,Prieska-13-5,22.7788,-29.9771,10,7.9,0.19,0.088,5652,477,77.2,293,8.4,1540,190,382,0.54,1.65,60.8,110,1.93,23.5
icr049131,ZA-sKzMmf,ZA,Prieska,Prieska-13-5,22.7788,-29.9771,35,6.79,1.16,0.045,3510,386,45.9,209,7.3,1250,247,407,0.25,2.32,81.3,141,1.57,17.6
icr049152,ZA-33TQEN,ZA,Prieska,Prieska-15-2,22.7803,-29.9329,10,8.27,0.24,0.095,6833,565,40,381,6.9,1610,291,419,0.8,1.19,64.1,90.5,3.4,14.3
icr049153,ZA-33TQEN,ZA,Prieska,Prieska-15-2,22.7803,-29.9329,35,8.66,0.24,0.12,4982,537,32.4,435,12.4,4350,347,219,1.24,1.1,34.6,80.5,1.3,14.1
icr049156,ZA-n0fOIQ,ZA,Prieska,Prieska-15-5,22.7819,-29.9279,10,8.16,0.29,0.081,3448,358,33,344,4.9,1210,257,460,0.5,1.34,74.3,115,1.66,16.6
icr049157,ZA-n0fOIQ,ZA,Prieska,Prieska-15-5,22.7819,-29.9279,35,8.44,0.19,0.118,2634,425,22.3,304,13.6,3080,293,403,0.55,2.26,57.5,124,1.67,22.5
icr049174,ZA-DgW6MN,ZA,Prieska,Prieska-16-9,22.7832,-29.9066,10,8.03,0.097,0.063,2081,242,31,349,6.1,1310,311,486,0.41,2.1,67.3,153,1.17,28.8
icr049175,ZA-DgW6MN,ZA,Prieska,Prieska-16-9,22.7832,-29.9066,35,8.48,0.14,0.085,2302,344,20.3,239,5.6,1960,294,455,0.62,2.18,60.7,138,1.04,34.5
icr049177,MZ-qCtfrC,MZ,Chiculecule,Chiculecule-1-1,35.26938,-22.869558,10,8.01,0.32,0.156,7673,578,84.2,121,14.2,2220,131,428,1.07,1.29,39.5,159,4.23,87.6
icr049178,MZ-qCtfrC,MZ,Chiculecule,Chiculecule-1-1,35.26938,-22.869558,35,8.31,0.23,0.102,3710,312,47.2,84.9,5.7,1960,59.9,407,0.85,1.29,49.8,123,1.96,31.8
icr049197,MZ-3qukBE,MZ,Chiculecule,Chiculecule-2-1,35.273025,-22.850423,10,6.31,0.41,0.037,4318,281,8.4,64.7,3.6,286,54.3,396,0.001,0.37,49.1,117,1.28,23.8
icr049198,MZ-3qukBE,MZ,Chiculecule,Chiculecule-2-1,35.273025,-22.850423,35,5.71,0.23,0.023,2244,140,4.1,44.5,2.8,109,30.2,483,0.001,0.34,62.6,64.1,0.54,25.5
icr049217,MZ-QUI0cl,MZ,Chiculecule,Chiculecule-3-1,35.271288,-22.830183,10,6.31,0.13,0.027,4114,265,7,50,2.7,238,52.3,348,0.001,0.25,41.1,98.6,1.13,22.2
icr049218,MZ-QUI0cl,MZ,Chiculecule,Chiculecule-3-1,35.271288,-22.830183,35,5.54,0.23,0.027,1841,109,2.9,34.2,2,120,25.5,441,0.24,0.34,40.1,49.4,0.87,30.8
icr049237,MZ-W8U0JE,MZ,Chiculecule,Chiculecule-4-1,35.268292,-22.80203,10,6.34,0.27,0.055,8351,547,6.8,75.5,5.1,350,77.2,440,0.37,0.43,35.6,179,0.47,24.2
icr049238,MZ-W8U0JE,MZ,Chiculecule,Chiculecule-4-1,35.268292,-22.80203,35,5.75,0.37,0.08,3723,286,3.3,50.5,4.6,175,48.5,479,0.27,0.37,43,137,0.54,26.9
icr049257,MZ-F5gqZU,MZ,Chiculecule,Chiculecule-5-1,35.29462,-22.872882,10,6.74,0.18,0.041,4112,298,9.6,30.6,NA,445,53.7,142,0.22,0.26,31,16.3,1.28,6.03
icr049258,MZ-F5gqZU,MZ,Chiculecule,Chiculecule-5-1,35.29462,-22.872882,35,6.38,0.23,0.027,1269,101,2.8,23.5,NA,197,27.5,106,0.001,0.001,36.7,3.07,0.45,21.8
